function,file,status,fix_commit
dpu_kms_mmap_mdp5,drivers/gpu/drm/msm/disp/dpu1/dpu_kms.c,LIKELY_FIXED,drm/msm/dpu: cleanup dpu_kms_hw_init error path
endpoint_set_syncinterval,sound/usb/endpoint.c,LIKELY_FIXED,ALSA: usb-audio: Check shutdown at endpoint_set_interface()
ethnl_tsinfo_dump_one_net_topo,net/ethtool/tsinfo.c,LIKELY_FIXED,net: ethtool: optionally skip rtnl_lock in ethnl_tsinfo_dumpit()
ethtool_phy_get_ts_info_by_phc,net/ethtool/common.c,LIKELY_FIXED,net: transfer rtnl_lock() requirement from ethtool_set_ethtool_phy_ops() to caller
etnaviv_gem_new_handle,drivers/gpu/drm/etnaviv/etnaviv_gem.c,LIKELY_FIXED,drm/etnaviv: Clean up etnaviv_gem_get_pages
i2c_acpi_space_handler,drivers/i2c/i2c-core-acpi.c,LIKELY_FIXED,i2c: acpi: Return -ENOENT when no resources found in i2c_acpi_client_count()
iso_sock_kill,net/bluetooth/iso.c,LIKELY_FIXED,Bluetooth: ISO: avoid deadlocks in iso_sock_timeout
kcs_bmc_ipmi_add_device,drivers/char/ipmi/kcs_bmc_cdev_ipmi.c,LIKELY_FIXED,ipmi: kcs_bmc: Decouple the IPMI chardev from the core
ma35_nand_read_oob_hwecc,drivers/mtd/nand/raw/nuvoton-ma35d1-nand-controller.c,LIKELY_FIXED,mtd: rawnand: nuvoton: Fix an error handling path in ma35_nand_chips_init()
ma35_nand_read_page_hwecc,drivers/mtd/nand/raw/nuvoton-ma35d1-nand-controller.c,LIKELY_FIXED,mtd: rawnand: nuvoton: Fix an error handling path in ma35_nand_chips_init()
mtk_drm_of_get_ddp_ep_cid,drivers/gpu/drm/mediatek/mtk_drm_drv.c,LIKELY_FIXED,drm/mediatek: Fix device/node reference count leaks in mtk_drm_get_all_drm_priv
nft_dynset_expr_setup,net/netfilter/nft_dynset.c,LIKELY_FIXED,nf_tables: nft_dynset: fix possible stateful expression memleak in error path
pata_parport_init,drivers/ata/pata_parport/pata_parport.c,LIKELY_FIXED,ata: pata_parport: switch to dynamic root device
smb2_get_info_sec,fs/smb/server/smb2pdu.c,LIKELY_FIXED,ksmbd: fix out-of-bounds write in smb2_get_ea() EA alignment
tegra_bo_alloc_object,drivers/gpu/drm/tegra/gem.c,LIKELY_FIXED,drm/tegra: gem: Do not return NULL in tegra_bo_mmap()
